fileNumber,mechanism,depth,T,lossMethod,batch,seedInBatch,bulkBestLoss,bulkCorrelationLoss,bulkGlobalsumLoss,trustCheckDiff,storedActualVmemFeatureRMS_mV,featureRMS_mV,featureBestTimestep,eyesRMS_mV,noseRMS_mV,mouthRMS_mV,eyesBestRMS_mV,eyesBestTimestep,noseBestRMS_mV,noseBestTimestep,mouthBestRMS_mV,mouthBestTimestep
1751,Gpol-only,1,300,globalsum,2,1,3.540575795950096,0.9225090610916237,3.5404292971504825,0.00014649879961359247,13.0345966038675,13.0345966038675,2999,10.620261739411369,20.061962016256803,9.466489768717969,9.41783264177771,2932,7.93147246787477,302,8.51763135908537,2786
1752,Gpol-only,1,300,globalsum,2,2,3.6419138821468198,0.981799372433709,3.641605008285211,0.00030887386160882713,22.537713333410586,22.537713333410586,2999,25.33157180004589,23.74098815807658,9.778676071484464,25.26512072301565,2947,7.909684916913344,299,8.406894674272717,2797
1753,Gpol-only,1,300,globalsum,2,3,3.4777024057082278,0.8045080286823193,3.476922196776918,0.0007802089313098115,32.024313983548836,32.024313983548836,2999,39.23350247735178,24.434591192460967,9.174314366496052,36.45850049166807,2726,7.907940324669484,297,8.507539019938655,2900
1754,Gpol-only,1,300,globalsum,2,4,3.5475737597057106,0.8412443062311483,3.5472703225583953,0.0003034371473153996,40.89759518602015,34.47169869137614,2801,38.47499422547968,39.002614344614685,8.755168511923708,36.96004852127597,2523,7.884692491692136,295,8.507113155343585,2823
1755,Gpol-only,1,300,globalsum,2,5,3.604750264031726,0.9700847419718039,3.604435573974285,0.00031469005744089174,20.6603178574967,20.6603178574967,2999,23.535336103985895,20.401585607883113,9.931630034912954,23.535336103985895,2999,7.915136429493811,300,8.546161808499775,2735
1660,Gpol-only,2,300,correlation,1,0,0.7519270345151229,0.7509933165930102,3.4593967304294515,0.0009337179221127201,45.544922041020975,32.69056711081005,2650,40.060828155076585,23.991160395962627,11.485317310523403,24.298267498648713,671,8.225218324814325,296,7.928696639835096,2710
1661,Gpol-only,2,300,correlation,1,1,0.5953229746015423,0.5949304142921397,3.367077463286142,0.0003925603094026009,47.327491344461556,24.469781735462,2524,9.027190027404423,8.465259163909536,50.05290513737331,8.705885313048787,2542,7.993175888861134,2570,40.10662962567716,1474
1662,Gpol-only,2,300,correlation,1,2,0.7542026092872632,0.7542609739403174,3.457872385731009,5.8364653054199245e-05,30.525433873429968,27.18234069763721,2904,12.32144183752419,9.566433090458055,54.32992325710075,8.419207698568137,2603,8.198545858507757,303,40.243995600941204,1420
1663,Gpol-only,2,300,correlation,1,3,0.5651545449679815,0.5645774873309278,3.3731312321698446,0.000577057637053624,44.949640734269366,30.214604180872293,2405,31.623807506973666,9.085592259749237,38.87049742953627,24.895888904239378,726,7.914996595709097,2551,38.7794559634699,2389
1664,Gpol-only,2,300,correlation,1,4,0.8193637598670507,0.8186124609363427,3.523248873357353,0.000751298930708022,45.36220576687318,27.021377115913005,2360,9.667617939412946,39.62818850585507,39.84672647206624,8.356369822373052,2213,8.239011702302069,295,39.78788655842466,1344
1665,Gpol-only,2,300,correlation,1,5,0.5898445721880832,0.589557388533556,3.3392025828580487,0.00028718365452717887,41.118437267292364,24.99779821648371,2479,24.69806993941653,8.262215953778133,34.946191552868925,24.669208297452784,695,8.133372349999208,2501,34.91926195063952,2475
1756,Gpol-only,2,300,correlation,2,0,0.7775456647733071,0.7767015276842466,3.524551758196015,0.0008441370890605038,31.6725631259906,31.445300808500214,2949,35.622682922148535,33.852154714575725,9.193979118327407,25.672970323405757,825,8.233202250499067,292,8.715373264215803,2973
1757,Gpol-only,2,300,correlation,2,1,0.8445311759709243,0.8452712732414882,3.5048967444566723,0.0007400972705638997,37.905747656284404,30.21806984901324,2776,27.235152819011642,29.78916924004961,37.36144282974765,24.93419406446115,757,8.238349651522372,306,8.65913358632593,1402
1758,Gpol-only,2,300,correlation,2,2,0.6871760054690501,0.6870643122512347,3.43559221637645,0.00011169321781545616,45.529108393066835,28.056870255518483,2407,22.614801236560616,8.753185869853679,47.25583876136437,22.612609225549452,2408,8.233323261079038,2489,39.744295320028954,1190
1759,Gpol-only,2,300,correlation,2,3,0.6868733991858258,0.6856970267640871,3.3857277293971864,0.0011763724217387361,37.441247866710015,32.79137603545159,2402,30.75831375527519,10.33111092965695,48.87076260407378,24.8149961738698,705,8.225363453858158,295,39.8815232632664,1213
1760,Gpol-only,2,300,correlation,2,4,0.7586826467466404,0.7586998897360921,3.536740467587203,1.724298945171565e-05,42.773569790616115,18.64875759754438,2446,8.597779588961743,8.496420010486537,36.79186626226347,8.520385987003756,2426,7.962602587059302,2503,36.79176907539959,2447
1761,Gpol-only,2,300,correlation,2,5,0.5832676288697128,0.5827680442672603,3.067741201411569,0.0004995846024525852,38.90587531991909,35.052367369827444,1116,30.373894036625476,40.33460693541967,40.579672060943565,23.852745139667878,2037,8.227869938119618,299,39.22821561287147,1144
1666,Gpol-only,2,300,globalsum,1,0,3.497334830961411,0.8152172158270857,3.496320154082612,0.0010146768787993032,41.38660099737757,32.53319291301187,979,33.59366599739672,42.94614151884347,9.243603200532013,32.92637068254075,896,8.236229512196413,296,8.672232656334653,1003
1667,Gpol-only,2,300,globalsum,1,1,3.4931155078715004,0.8252134948436691,3.4933401519636886,0.0002246440921882531,42.348239128433505,25.128595036221352,2474,8.62461992380693,21.87927528735429,47.64125462587091,8.523452871753078,2448,8.24172588015488,294,40.44889824303231,1371
1668,Gpol-only,2,300,globalsum,1,2,3.26992058890146,0.5666575743104005,3.2703546640759162,0.000434075174456261,36.63708776441134,28.537826720964624,2559,22.46986120711482,8.198307490511695,48.8566328383986,22.35036786098889,2568,8.142259868365523,2532,40.42198992616401,1442
1669,Gpol-only,2,300,globalsum,1,3,3.4178594842582477,0.8008724064392823,3.4167372492509744,0.0011222350072732645,34.926044350157014,33.70994294467111,2494,29.78599926148649,27.75923744516576,46.54629143841029,24.876645376616526,2015,8.223012610490338,298,8.57051532873276,2756
1670,Gpol-only,2,300,globalsum,1,4,3.706730772433158,0.9890010014948915,3.705551447967705,0.0011793244654532131,35.40220718286727,32.75088411152018,2665,29.37732674705219,22.37827367564576,46.94005300620607,21.693896210840297,2236,8.267903384942493,294,8.603178412177213,2944
