fileNumber,lossMethod,mechanism,depth,T,bulkBestLoss,numSimIters,featureRMS_mV,featureBestTimestep
1898,facialFeatureBalanced,Gpol-only,1,100,0.03277332787580238,3000,31.4788,2999
1899,facialFeatureBalanced,Gpol-only,1,100,0.031182913205434502,3000,29.145,2880
1900,facialFeatureBalanced,Gpol-only,2,100,0.03125117748509926,3000,24.6151,1644
1901,facialFeatureBalanced,Gpol-only,2,100,0.03676341726686452,3000,30.041,2165
1902,facialFeatureBalanced,Gpol-only,2,100,0.03338529985294776,3000,29.6225,2927
1903,facialFeatureBalanced,Gpol-only,2,100,0.030881102602730054,3000,29.3642,2927
1904,facialFeatureBalanced,Gpol-only,2,100,0.026843849890286632,3000,15.6656,2859
1905,facialFeatureBalanced,Gpol-only,2,100,0.031566172162895284,3000,27.5892,2999
1906,facialFeatureBalanced,Gpol-only,2,100,0.029532821330885986,3000,24.4211,2985
1907,facialFeatureBalanced,Gpol-only,2,100,0.030353984599675924,3000,27.5941,2944
1908,facialFeatureBalanced,Gpol-only,2,100,0.03114952846754874,3000,29.0252,2970
1909,facialFeatureBalanced,Gpol-only,2,100,0.03159373653994417,3000,29.2512,2961
1910,facialFeatureBalanced,Gpol-only,2,100,0.029478653890397853,3000,28.6714,2910
1911,facialFeatureBalanced,Gpol-only,2,100,0.03400818177721362,3000,26.3458,1272
1912,facialFeatureBalanced,Gpol+Vmem,1,100,0.03324140019016514,3000,31.929,2959
1913,facialFeatureBalanced,Gpol+Vmem,1,100,0.03503441121898654,3000,31.1297,2820
1914,facialFeatureBalanced,Gpol+Vmem,1,100,0.030545198641221454,3000,27.9295,2968
1915,facialFeatureBalanced,Gpol+Vmem,1,100,0.0338883166936968,3000,32.316,2999
1916,facialFeatureBalanced,Gpol+Vmem,1,100,0.028123281499587288,3000,22.5048,2999
1917,facialFeatureBalanced,Gpol+Vmem,1,100,0.030101426636992744,3000,22.7259,2999
1918,facialFeatureBalanced,Gpol+Vmem,1,100,0.03219989575908913,3000,24.098,2994
1919,facialFeatureBalanced,Gpol+Vmem,1,100,0.03446887998069829,3000,35.8515,2931
1920,facialFeatureBalanced,Gpol+Vmem,1,100,0.034226183385559376,3000,35.3796,2904
1921,facialFeatureBalanced,Gpol+Vmem,1,100,0.030285415585869224,3000,23.9244,2998
1922,facialFeatureBalanced,Gpol+Vmem,1,100,0.0360071781239016,3000,35.5147,1842
1923,facialFeatureBalanced,Gpol+Vmem,1,100,0.027438627677050804,3000,21.6884,2618
1924,facialFeatureBalanced,Gpol+Vmem,2,100,0.027903087469452224,3000,20.6348,2825
1925,facialFeatureBalanced,Gpol+Vmem,2,100,0.0266496177949598,3000,15.8774,2950
1926,facialFeatureBalanced,Gpol+Vmem,2,100,0.03139433088303565,3000,25.9373,2862
1927,facialFeatureBalanced,Gpol+Vmem,2,100,0.03223096626468302,3000,22.1381,1156
1928,facialFeatureBalanced,Gpol+Vmem,2,100,0.027386286621657485,3000,15.7846,2999
1929,facialFeatureBalanced,Gpol+Vmem,2,100,0.030122390896403547,3000,27.2462,2766
1930,facialFeatureBalanced,Gpol+Vmem,2,100,0.031852375816684445,3000,25.1728,2999
1931,facialFeatureBalanced,Gpol+Vmem,2,100,0.03367947089090336,3000,31.72,2871
1932,facialFeatureBalanced,Gpol+Vmem,2,100,0.03302154825227812,3000,31.6951,2933
1933,facialFeatureBalanced,Gpol+Vmem,2,100,0.02994636007901539,3000,24.2593,1329
1934,facialFeatureBalanced,Gpol+Vmem,2,100,0.028505713473854593,3000,22.4586,2950
1935,facialFeatureBalanced,Gpol+Vmem,2,100,0.029523306023203834,3000,23.1181,2985
1936,facialFeatureBalanced,Gpol-only,1,301,0.03231481034824387,3000,27.7985,2999
1937,facialFeatureBalanced,Gpol-only,1,301,0.026825562184528588,3000,18.0934,2993
1938,facialFeatureBalanced,Gpol-only,1,301,0.025652370286845867,3000,15.362,2951
1939,facialFeatureBalanced,Gpol-only,1,301,0.024421639695877444,3000,10.0017,2994
1940,facialFeatureBalanced,Gpol-only,1,301,0.02933971872517132,3000,24.2352,2935
1941,facialFeatureBalanced,Gpol-only,1,301,0.02724102036983976,3000,15.7027,2999
1942,facialFeatureBalanced,Gpol-only,1,301,0.030688151137492355,3000,24.527,2999
1943,facialFeatureBalanced,Gpol-only,1,301,0.026272786126040032,3000,9.9756,2999
1944,facialFeatureBalanced,Gpol-only,1,301,0.02579253378188987,3000,14.9706,2954
1945,facialFeatureBalanced,Gpol-only,1,301,0.030993921394392,3000,24.9601,2999
1946,facialFeatureBalanced,Gpol-only,1,301,0.03409343966399689,3000,29.1846,2911
1947,facialFeatureBalanced,Gpol-only,1,301,0.024022259390779583,3000,11.2238,2999
1948,facialFeatureBalanced,Gpol-only,2,301,0.0331922815685956,3000,28.6677,2739
1949,facialFeatureBalanced,Gpol-only,2,301,0.03426694276072334,3000,32.471,1078
1950,facialFeatureBalanced,Gpol-only,2,301,0.03156928075252683,3000,30.5485,2928
1951,facialFeatureBalanced,Gpol-only,2,301,0.029031975672561414,3000,24.2333,2961
1952,facialFeatureBalanced,Gpol-only,2,301,0.029368201565553163,3000,25.519,2759
1953,facialFeatureBalanced,Gpol-only,2,301,0.03129977011415207,3000,28.4236,2716
1954,facialFeatureBalanced,Gpol-only,2,301,0.03254284355853253,3000,27.6063,2905
1955,facialFeatureBalanced,Gpol-only,2,301,0.033172048816354105,3000,29.9738,2464
1956,facialFeatureBalanced,Gpol-only,2,301,0.032923487965762915,3000,25.6497,2719
1957,facialFeatureBalanced,Gpol-only,2,301,0.03171247040363008,3000,31.4013,2707
1958,facialFeatureBalanced,Gpol-only,2,301,0.03554826066378116,3000,30.6579,1982
1959,facialFeatureBalanced,Gpol-only,2,301,0.031786168990666684,3000,29.7517,2939
1960,facialFeatureBalanced,Gpol+Vmem,1,301,0.033580907118890946,3000,34.3042,2821
1961,facialFeatureBalanced,Gpol+Vmem,1,301,0.027975723327601516,3000,20.8905,2949
1962,facialFeatureBalanced,Gpol+Vmem,1,301,0.03274112586166599,3000,32.7835,2872
1963,facialFeatureBalanced,Gpol+Vmem,1,301,0.03772053606339136,3000,37.6225,2004
1964,facialFeatureBalanced,Gpol+Vmem,1,301,0.034443516039211586,3000,33.5402,972
1965,facialFeatureBalanced,Gpol+Vmem,1,301,0.02839212134342169,3000,20.9364,2718
1966,facialFeatureBalanced,Gpol+Vmem,1,301,0.032367620484721374,3000,31.2372,2886
1967,facialFeatureBalanced,Gpol+Vmem,1,301,0.03055850166576589,3000,24.1861,2999
1968,facialFeatureBalanced,Gpol+Vmem,1,301,0.03356900056111169,3000,33.7421,753
1969,facialFeatureBalanced,Gpol+Vmem,1,301,0.034080002232600895,3000,33.1388,2838
1970,facialFeatureBalanced,Gpol+Vmem,1,301,0.030614496451352356,3000,26.5477,2995
1971,facialFeatureBalanced,Gpol+Vmem,1,301,0.03136753768022725,3000,25.0734,2780
1972,facialFeatureBalanced,Gpol+Vmem,2,301,0.02499098853175724,3000,15.771,2922
1973,facialFeatureBalanced,Gpol+Vmem,2,301,0.030902654578543194,3000,27.3642,1433
1974,facialFeatureBalanced,Gpol+Vmem,2,301,0.03063293375359391,3000,22.955,2915
1975,facialFeatureBalanced,Gpol+Vmem,2,301,0.03222435620214641,3000,30.0709,2893
1976,facialFeatureBalanced,Gpol+Vmem,2,301,0.029320490165632658,3000,25.5582,2865
1977,facialFeatureBalanced,Gpol+Vmem,2,301,0.030096770529854825,3000,24.5841,2922
1978,facialFeatureBalanced,Gpol+Vmem,2,301,0.026730087400626032,3000,16.2928,2694
1979,facialFeatureBalanced,Gpol+Vmem,2,301,0.03106226024867839,3000,25.5748,2817
1980,facialFeatureBalanced,Gpol+Vmem,2,301,0.033575330155569724,3000,30.5681,2940
1981,facialFeatureBalanced,Gpol+Vmem,2,301,0.029358218866917182,3000,25.2878,2923
1982,facialFeatureBalanced,Gpol+Vmem,2,301,0.026547193875119602,3000,15.6453,2875
1983,facialFeatureBalanced,Gpol+Vmem,2,301,0.03277694580830989,3000,20.815,990
