fileNumber,lossMethod,mechanism,depth,T,partScore,partBestTimestep,coverage,separation,spurious
1726,globalsum,Gpol+Vmem,1,100,4.8209,563,2.0,3,0.0896
1727,globalsum,Gpol+Vmem,1,100,6.4403,2978,2.5,4,0.0299
1728,globalsum,Gpol+Vmem,1,100,6.2736,2921,2.3333,4,0.0299
1729,globalsum,Gpol+Vmem,1,100,6.4701,1790,2.5,4,0.0149
1730,globalsum,Gpol+Vmem,1,100,6.607,2883,2.6667,4,0.0299
1731,globalsum,Gpol+Vmem,1,100,6.5348,2279,2.8333,4,0.1493
1732,correlation,Gpol+Vmem,2,100,6.0473,2875,2.1667,4,0.0597
1733,correlation,Gpol+Vmem,2,100,5.7786,1375,2.1667,4,0.194
1734,correlation,Gpol+Vmem,2,100,6.6244,1288,2.8333,4,0.1045
1735,correlation,Gpol+Vmem,2,100,5.2612,1449,1.5,4,0.1194
1736,correlation,Gpol+Vmem,2,100,6.2488,2483,2.6667,4,0.209
1737,correlation,Gpol+Vmem,2,100,6.291,2915,2.5,4,0.1045
1738,globalsum,Gpol+Vmem,2,100,6.5348,1506,2.8333,4,0.1493
1739,globalsum,Gpol+Vmem,2,100,5.8682,1026,2.1667,4,0.1493
1740,globalsum,Gpol+Vmem,2,100,5.5473,1111,1.6667,4,0.0597
1741,globalsum,Gpol+Vmem,2,100,7.2786,1173,3.6667,4,0.194
1742,globalsum,Gpol+Vmem,2,100,6.0945,1419,2.3333,4,0.1194
1743,globalsum,Gpol+Vmem,2,100,5.3507,1429,1.5,4,0.0746
1744,correlation,Gpol-only,1,301,4.107,2094,1.1667,3,0.0299
1745,correlation,Gpol-only,1,301,6.005,2778,2.3333,4,0.1642
1746,correlation,Gpol-only,1,301,5.0224,1641,1.5,4,0.2388
1747,correlation,Gpol-only,1,301,5.4453,1628,1.8333,4,0.194
1748,correlation,Gpol-only,1,301,5.4453,1624,1.8333,4,0.194
1749,correlation,Gpol-only,1,301,4.1542,2947,1.3333,3,0.0896
1750,globalsum,Gpol-only,1,301,4.1294,2863,1.6667,3,0.2687
1751,globalsum,Gpol-only,1,301,6.005,2799,2.3333,4,0.1642
1752,globalsum,Gpol-only,1,301,6.005,2711,2.3333,4,0.1642
1753,globalsum,Gpol-only,1,301,6.2736,2969,2.3333,4,0.0299
1754,globalsum,Gpol-only,1,301,6.0348,2763,2.3333,4,0.1493
1755,globalsum,Gpol-only,1,301,5.7139,2678,1.8333,4,0.0597
1756,correlation,Gpol-only,2,301,6.5771,2929,2.6667,4,0.0448
1757,correlation,Gpol-only,2,301,6.3507,2745,2.5,4,0.0746
1758,correlation,Gpol-only,2,301,5.5473,1120,1.6667,4,0.0597
1759,correlation,Gpol-only,2,301,5.9403,2951,2.0,4,0.0299
1760,correlation,Gpol-only,2,301,5.7612,2396,3.0,3,0.1194
1761,correlation,Gpol-only,2,301,5.9876,1112,2.1667,4,0.0896
1762,globalsum,Gpol-only,2,301,5.4403,2910,1.5,4,0.0299
1763,globalsum,Gpol-only,2,301,7.0348,2471,3.3333,4,0.1493
1764,globalsum,Gpol-only,2,301,6.2139,989,2.3333,4,0.0597
1765,globalsum,Gpol-only,2,301,7.005,2588,3.3333,4,0.1642
1766,globalsum,Gpol-only,2,301,5.0473,2895,2.1667,3,0.0597
1767,globalsum,Gpol-only,2,301,6.107,2979,2.1667,4,0.0299
1768,correlation,Gpol+Vmem,1,301,5.2313,1834,1.5,4,0.1343
1769,correlation,Gpol+Vmem,1,301,6.1542,1061,2.3333,4,0.0896
1770,correlation,Gpol+Vmem,1,301,7.1667,2987,3.1667,4,0.0
1771,correlation,Gpol+Vmem,1,301,5.1716,1952,1.5,4,0.1642
1772,correlation,Gpol+Vmem,1,301,6.0174,1800,2.1667,4,0.0746
1773,correlation,Gpol+Vmem,1,301,6.4403,2903,2.5,4,0.0299
1774,globalsum,Gpol+Vmem,1,301,5.4751,1778,1.8333,4,0.1791
1775,globalsum,Gpol+Vmem,1,301,5.7736,721,1.8333,4,0.0299
1776,globalsum,Gpol+Vmem,1,301,5.7015,2304,2.0,4,0.1493
1777,globalsum,Gpol+Vmem,1,301,6.7736,2726,2.8333,4,0.0299
1778,globalsum,Gpol+Vmem,1,301,6.5174,2969,2.6667,4,0.0746
1779,globalsum,Gpol+Vmem,1,301,5.3209,2508,1.5,4,0.0896
1780,correlation,Gpol+Vmem,2,301,6.3333,858,2.3333,4,0.0
1781,correlation,Gpol+Vmem,2,301,6.3035,2887,2.3333,4,0.0149
1782,correlation,Gpol+Vmem,2,301,5.107,805,2.1667,3,0.0299
1783,correlation,Gpol+Vmem,2,301,7.4403,2970,3.5,4,0.0299
1784,correlation,Gpol+Vmem,2,301,6.7736,1018,2.8333,4,0.0299
1785,correlation,Gpol+Vmem,2,301,6.7612,1094,3.0,4,0.1194
1786,globalsum,Gpol+Vmem,2,301,5.3209,825,1.5,4,0.0896
1787,globalsum,Gpol+Vmem,2,301,5.0473,2964,2.1667,3,0.0597
1788,globalsum,Gpol+Vmem,2,301,5.791,2950,2.0,4,0.1045
1789,globalsum,Gpol+Vmem,2,301,6.1244,2904,2.3333,4,0.1045
1790,globalsum,Gpol+Vmem,2,301,5.8209,2935,2.0,4,0.0896
1791,globalsum,Gpol+Vmem,2,301,5.8507,2983,2.0,4,0.0746
1792,facialFeatureOnly,Gpol-only,1,100,5.5348,2896,1.8333,4,0.1493
1793,facialFeatureOnly,Gpol-only,1,100,5.7736,2768,1.8333,4,0.0299
1794,facialFeatureOnly,Gpol-only,1,100,5.7139,2742,1.8333,4,0.0597
1795,facialFeatureOnly,Gpol-only,1,100,4.898,1571,1.1667,4,0.1343
1796,facialFeatureOnly,Gpol-only,1,100,5.505,2788,1.8333,4,0.1642
1797,facialFeatureOnly,Gpol-only,1,100,5.107,2826,1.1667,4,0.0299
1798,facialFeatureOnly,Gpol-only,1,100,4.898,2845,2.1667,3,0.1343
1799,facialFeatureOnly,Gpol-only,1,100,6.1057,2976,2.5833,4,0.2388
1800,facialFeatureOnly,Gpol-only,1,100,4.898,2892,3.1667,2,0.1343
1801,facialFeatureOnly,Gpol-only,1,100,5.0883,2789,1.4167,4,0.1642
1802,facialFeatureOnly,Gpol-only,1,100,6.0945,2848,2.3333,4,0.1194
1803,facialFeatureOnly,Gpol-only,1,100,6.2189,2940,2.6667,4,0.2239
1804,facialFeatureOnly,Gpol-only,2,100,6.0348,1556,2.3333,4,0.1493
1805,facialFeatureOnly,Gpol-only,2,100,6.9751,2877,3.3333,4,0.1791
1806,facialFeatureOnly,Gpol-only,2,100,6.2015,2907,2.5,4,0.1493
1807,facialFeatureOnly,Gpol-only,2,100,7.0348,2811,3.3333,4,0.1493
1808,facialFeatureOnly,Gpol-only,2,100,4.4154,2935,1.8333,3,0.209
1809,facialFeatureOnly,Gpol-only,2,100,6.7488,1690,3.1667,4,0.209
1810,facialFeatureOnly,Gpol-only,2,100,5.1667,1192,1.1667,4,0.0
1811,facialFeatureOnly,Gpol-only,2,100,5.9154,1538,2.3333,4,0.209
1812,facialFeatureOnly,Gpol-only,2,100,7.398,2927,3.6667,4,0.1343
1813,facialFeatureOnly,Gpol-only,2,100,6.005,1687,2.3333,4,0.1642
1814,facialFeatureOnly,Gpol-only,2,100,6.8507,2891,3.0,4,0.0746
1815,facialFeatureOnly,Gpol-only,2,100,7.005,2868,3.3333,4,0.1642
1816,facialFeatureOnly,Gpol+Vmem,1,100,5.8085,797,2.1667,4,0.1791
1817,facialFeatureOnly,Gpol+Vmem,1,100,6.1244,2619,2.3333,4,0.1045
1818,facialFeatureOnly,Gpol+Vmem,1,100,6.4577,2888,2.6667,4,0.1045
1819,facialFeatureOnly,Gpol+Vmem,1,100,7.2612,2978,3.5,4,0.1194
1820,facialFeatureOnly,Gpol+Vmem,1,100,5.8333,2232,1.8333,4,0.0
1821,facialFeatureOnly,Gpol+Vmem,1,100,5.291,1626,1.5,4,0.1045
